|GapStart_ms      |GapEnd_ms        |GapStart_UTC                 |GapEnd_UTC                   |GapDuration_sec|
|-----------------|-----------------|-----------------------------|-----------------------------|---------------|
|1,756,828,222,537|1,756,924,005,816|2025-09-02 18:50:22.537 +0300|2025-09-03 21:26:45.816 +0300|95,783.279     |
|1,756,926,426,027|1,756,995,414,674|2025-09-03 22:07:06.027 +0300|2025-09-04 17:16:54.674 +0300|68,988.647     |
|1,757,044,849,222|1,757,092,879,124|2025-09-05 07:00:49.222 +0300|2025-09-05 20:21:19.124 +0300|48,029.902     |
|1,756,785,565,572|1,756,827,427,118|2025-09-02 06:59:25.572 +0300|2025-09-02 18:37:07.118 +0300|41,861.546     |
|1,756,665,921,249|1,756,697,122,948|2025-08-31 21:45:21.249 +0300|2025-09-01 06:25:22.948 +0300|31,201.699     |
|1,757,096,512,237|1,757,125,704,864|2025-09-05 21:21:52.237 +0300|2025-09-06 05:28:24.864 +0300|29,192.627     |
|1,757,014,637,200|1,757,039,739,033|2025-09-04 22:37:17.200 +0300|2025-09-05 05:35:39.033 +0300|25,101.833     |
|1,757,133,321,319|1,757,141,544,203|2025-09-06 07:35:21.319 +0300|2025-09-06 09:52:24.203 +0300|8,222.884      |
|1,757,141,626,507|1,757,147,369,972|2025-09-06 09:53:46.507 +0300|2025-09-06 11:29:29.972 +0300|5,743.465      |
|1,756,707,084,877|1,756,712,739,221|2025-09-01 09:11:24.877 +0300|2025-09-01 10:45:39.221 +0300|5,654.344      |
|1,756,567,249,202|1,756,570,397,250|2025-08-30 18:20:49.202 +0300|2025-08-30 19:13:17.250 +0300|3,148.048      |
|1,756,564,570,712|1,756,567,244,918|2025-08-30 17:36:10.712 +0300|2025-08-30 18:20:44.918 +0300|2,674.206      |
|1,757,149,422,283|1,757,151,232,010|2025-09-06 12:03:42.283 +0300|2025-09-06 12:33:52.010 +0300|1,809.727      |
|1,756,716,446,478|1,756,717,769,550|2025-09-01 11:47:26.478 +0300|2025-09-01 12:09:29.550 +0300|1,323.072      |
|1,757,008,683,548|1,757,009,750,025|2025-09-04 20:58:03.548 +0300|2025-09-04 21:15:50.025 +0300|1,066.477      |
|1,757,010,747,080|1,757,011,705,610|2025-09-04 21:32:27.080 +0300|2025-09-04 21:48:25.610 +0300|958.53         |
|1,757,159,971,733|1,757,160,929,282|2025-09-06 14:59:31.733 +0300|2025-09-06 15:15:29.282 +0300|957.549        |
|1,757,162,617,139|1,757,163,562,300|2025-09-06 15:43:37.139 +0300|2025-09-06 15:59:22.300 +0300|945.161        |
|1,757,093,427,905|1,757,094,245,537|2025-09-05 20:30:27.905 +0300|2025-09-05 20:44:05.537 +0300|817.632        |
|1,756,998,264,187|1,756,998,935,309|2025-09-04 18:04:24.187 +0300|2025-09-04 18:15:35.309 +0300|671.122        |
|1,756,996,254,708|1,756,996,907,525|2025-09-04 17:30:54.708 +0300|2025-09-04 17:41:47.525 +0300|652.817        |
|1,757,094,474,327|1,757,094,993,637|2025-09-05 20:47:54.327 +0300|2025-09-05 20:56:33.637 +0300|519.31         |
|1,757,007,493,905|1,757,008,012,538|2025-09-04 20:38:13.905 +0300|2025-09-04 20:46:52.538 +0300|518.633        |
|1,757,147,728,568|1,757,148,235,102|2025-09-06 11:35:28.568 +0300|2025-09-06 11:43:55.102 +0300|506.534        |
|1,756,562,344,006|1,756,562,816,137|2025-08-30 16:59:04.006 +0300|2025-08-30 17:06:56.137 +0300|472.131        |
|1,757,092,927,242|1,757,093,351,366|2025-09-05 20:22:07.242 +0300|2025-09-05 20:29:11.366 +0300|424.124        |
|1,757,011,709,907|1,757,012,109,821|2025-09-04 21:48:29.907 +0300|2025-09-04 21:55:09.821 +0300|399.914        |
|1,756,996,954,599|1,756,997,344,692|2025-09-04 17:42:34.599 +0300|2025-09-04 17:49:04.692 +0300|390.093        |
|1,757,148,253,204|1,757,148,642,279|2025-09-06 11:44:13.204 +0300|2025-09-06 11:50:42.279 +0300|389.075        |
|1,756,563,012,235|1,756,563,399,282|2025-08-30 17:10:12.235 +0300|2025-08-30 17:16:39.282 +0300|387.047        |
|1,757,012,158,637|1,757,012,524,329|2025-09-04 21:55:58.637 +0300|2025-09-04 22:02:04.329 +0300|365.692        |
|1,756,748,551,422|1,756,748,890,203|2025-09-01 20:42:31.422 +0300|2025-09-01 20:48:10.203 +0300|338.781        |
|1,756,553,676,947|1,756,554,003,636|2025-08-30 14:34:36.947 +0300|2025-08-30 14:40:03.636 +0300|326.689        |
|1,757,161,128,209|1,757,161,444,847|2025-09-06 15:18:48.209 +0300|2025-09-06 15:24:04.847 +0300|316.638        |
